workid|artist|songname|minreleasedate|num_releases|countries|avg_rating|lyrics|title_sent|lyric_sent|is_cover|artist_cnt|cov_rating_avg|times_covered
198360|The Rolling Stones|Sympathy for the Devil|1968-12-06|36|8|0|"Please allow me to introduce myself: I'm a man of wealth and taste I've been around for a long, long year; stole many man's soul and faith I was 'round when Jesus Christ had his moment of doubt and pain Made damn sure that Pilate washed his hands and sealed his fate Pleased to meet you -- hope you guess my name But what's puzzling you is the nature of my game Stuck around St. Petersburg when I saw it was a time for a change Killed the czar and his ministers; Anastasia screamed in vain I rode a tank, held a general's rank, when the blitzkrieg raged and the bodies stank Pleased to meet you -- hope you guess my name, oh yeah Ah, what's puzzling you is the nature of my game, oh yeah I watched with glee while your kings and queens Fought for ten decades for the gods they made I shouted out ""Who killed the Kennedys?"" When after all, it was you and me Let me please introduce myself: I'm a man of wealth and taste And I laid traps for troubadours who get killed before they reach Bombay Pleased to meet you -- hope you guess my name, oh yeah But what's puzzling you is the nature of my game, oh yeah Get down, baby Pleased to meet you -- hope you guessed my name, oh yeah But what's confusing you is just the nature of my game Just as every cop is a criminal And all the sinners saints As heads is tails, just call me Lucifer 'Cause I'm in need of some restraint So if you meet me, have some courtesy Have some sympathy and some taste Use all your well-learned politesse Or I'll lay your soul to waste Mmm, yeah Pleased to meet you -- hope you guessed my name, mmm, yeah But what's puzzling you is the nature of my game Mmm, mean it, get down Tell me baby, what's my name? Tell me honey, can 'ya guess my name? Tell me baby, what's my name? I tell you one time, you're to blame What's my name? Tell me baby, what's my name? Tell me sweetie, what's my name?"|0.0|-0.0619855967078|0|47.0|81.25|55.0
198365|The Rolling Stones|Street Fighting Man|1968-12-06|17|8|0|Ev'rywhere I hear the sound of marching, charging feet, boy 'Cause summer's here and the time is right for fighting in the street, boy But a-what can a poor boy do 'Cept to sing for a rock 'n' roll band 'Cause in sleepy London town There's just no place for a street fighting man, no Hey, think the time is right for a palace revolution 'Cause where I live the game to play is compromise solution Well then what can a poor boy do 'Cept to sing for a rock 'n' roll band 'Cause in sleepy London town There's no place for a street fighting man, no Get down! Hey, said my name is called disturbance I'll shout and scream, I'll kill the king, I'll rail at all his servants And then what can a poor boy do 'Cept to sing for a rock 'n' roll band 'Cause in sleepy London town There's no place for a street fighting man, no Get down!|0.0|-0.0881096681097|0|17.0|65.0|19.0
198367|The Rolling Stones|Stray Cat Blues|1968-12-06|6|4|90|I hear the click-clack of your feet on the stairs I know you're no scared rat, honey There'll be a feast if you just come upstairs But it's no hanging matter It's no capital crime I can see that you're fifteen years old No, I don't want your I.D. I can see that you're so far from home But it's no hanging matter It's no capital crime Oh yeah, you're a strange stray cat Oh yeah, don'tcha scratch like that Oh yeah, you're a strange stray cat Bet your mama don't know you scream like that I bet your mother don't know you can spit like that You look so weird and you're so far from home But you don't really miss your mother Don't look so scared, I'm no mad-brained bear But it's no hanging matter It's no capital crime Oh, yeah Woo I bet your mama don't know that you scatch like that I bet she don't know you can bite like that You say you got a friend, that she's wilder than you Why don't you bring her upstairs If she's so wild then she can join in, too It's no hanging matter It's no capital crime Oh yeah, you're a strange stray cat Oh yeah, don'tcha scratch like that Oh yeah, you're a strange stray cat I bet you mama don't know you can bite like that I'll bet she never saw you scratch my back|0.0|-0.00909090909091|0|3.0|0.0|4.0
198593|The Beatles|Blue Jay Way|1967-11-27|2|2|0|"There's a fog upon L.A. And my friends have lost their way ""We'll be over soon"", they said Now they've lost themselves instead Please don't be long Please don't you be very long Please don't be long For I may be asleep Well, it only goes to show And I told them where to go Ask a policeman on the street There's so many there to meet Please don't be long (don't be long) Please don't you be very long (don't be long) Please don't be long For I may be asleep Now, it's past my bed, I know (know) And I'd really like to go (go) Soon will be the break of day (day) Sitting here in Blue Jay Way (Way) Please don't be long (don't be long) Please don't you be very long (don't be long) Please don't be long For I may be asleep Please don't be long Please don't you be very long Please don't be long Please don't be long Please don't you be very long Please don't be long Please don't be long Please don't you be very long Please don't be long Don't be long Don't be long Don't be long Don't be long Don't be long Don't be long Don't be long"|0.0|-0.0320588235294|0|13.0|0.0|13.0
198594|The Beatles|Your Mother Should Know|1967-11-27|4|4|0|(Oo-oo-oo-ooh) Let's all get up and dance to a song That was a hit before your mother was born Though she was born a long, long time ago Your mother should know (your mother should) Your mother should know (know) Sing it again Let's all get up and dance to a song That was a hit before your mother was born Though she was born a long, long time ago Your mother should know (your mother should) Your mother should know (know) Lift up your hearts and sing me a song That was a hit before your mother was born Though she was born a long, long time ago Your mother should know (your mother should) Your mother should know (kno-ow) Your mother should know (your mother should) Your mother should know (kno-ow) Sing it again Daa-da da-daa da-daa-daa-da-da Da-daa-da daa da-daa daa daa-da-da-daa Though she was born a long, long time ago Your mother should know (your mother should) Your mother should know (yeah) Your mother should know (your mother should) Your mother should know (yeah) Your mother should know (your mother should) Your mother should know (yeah)|0.0|-0.05|0|4.0|0.0|4.0
198599|The Beatles|Baby, You're a Rich Man|1967-11-27|4|4|0|How does it feel to be One of the beautiful people? Now that you know who you are What do you want to be? And have you travelled very far? Far as the eye can see How does it feel to be One of the beautiful people? How often have you been there? Often enough to know What did you see when you were there? Nothing that doesn't show Baby, you're a rich man Baby, you're a rich man Baby, you're a rich man, too You keep all your money in a big brown bag Inside a zoo What a thing to do! Baby, you're a rich man Baby, you're a rich man Baby, you're a rich man, too How does it feel to be One of the beautiful people? Tuned to a natural E Happy to be that way Now that you've found another key What are you going to play? Baby, you're a rich man Baby, you're a rich man Baby, you're a rich man, too You keep all your money in a big brown bag Inside a zoo What a thing to do! (Baby) Baby, you're a rich man Baby, you're a rich man Baby, you're a rich man, too (Oh) Baby, you're a rich man Baby, you're a rich man (baby) Baby, you're a rich man, too (Wahoo!) Baby, you're a rich (whoo) man Baby, you're a (hey) rich man Baby, you're a rich man, too (Oh)|0.375|0.362887931034|0|9.0|0.0|10.0
198970|The Beatles|The Ballad of John and Yoko|1973-04-02|6|5|0|"Standing in the dock at Southampton Trying to get to Holland or France The man in the mac said ""You've got to go back."" You know, they didn't even give us a chance Christ, you know it ain't easy You know how hard it can be The way things are going They're going to crucify me Finally made the plane into Paris Honeymooning down by the Seine Peter Brown called to say You can make it okay You can get married in Gibraltar near Spain Christ, you know it ain't easy You know how hard it can be The way things are going They're going to crucify me Drove from Paris to the Amsterdam Hilton Talking in our beds for a week The news people said ""Say, what you doing in bed?"" I said, ""We're only trying to get us some peace"" Christ, you know it ain't easy You know how hard it can be The way things are going They're going to crucify me Saving up your money for a rainy day Giving all your clothes to charity Last night the wife said ""Oh boy, when you're dead You don't take nothing with you but your soul Think!"" Made a lightning trip to Vienna Eating chocolate cake in a bag Newspapers said ""She's gone to his head. They look just like two gurus in drag."" Christ, you know it ain't easy You know how hard it can be The way things are going They're going to crucify me Caught the early plane back to London Fifty acorns tied in a sack The men from the press Said, ""We wish you success. It's good to have the both of you back."" Christ, you know it ain't easy You know how hard it can be The way things are going They're going to crucify me The way things are going They're going to crucify me"|0.0|0.0861111111111|0|4.0|0.0|4.0
198971|The Beatles|Old Brown Shoe|1973-04-02|5|4|0|I want a love that's right Right is only half of what's wrong I want a short-haired girl Who sometimes wears it twice as long Now I'm stepping out this old brown shoe Baby, I'm in love with you I'm so glad you came here It won't be the same now I'm telling you You know, you pick me up From where some try to drag me down When I see your smile Replacing every thoughtless frown Got me escaping from this zoo Baby, I'm in love with you So glad you came here Won't be the same now When I'm with you If I grow up I'll be a singer Wearing rings on every finger Not worrying what they or you'll say I'll live and love but maybe some day Who knows, baby? You may comfort me Hey! I may appear to be imperfect My love is something you can't reject I'm changing faster than the weather If you and me should get together Who knows, baby? You may comfort me (Hey) I know my love is yours to miss That love is something I'd hate I'll make an early start I'm making sure that I'm not late (hey) For your sweet top lip I'm in the queue Baby, I'm in love with you I'm so glad you came here It won't be the same now when I'm with you And I'm so glad you came here It won't be the same now when I'm with you Yeah, yeah, yeah (Doo-da) (Doo-da-doo) (Doo-da) (Doo-da-doo) (Doo-da) (Doo-da-doo) (Doo-da) (Doo-da-doo) Doo-da Doo-da-doo Doo-da Doo-da-doo Doo-da Doo-da-doo Doo-da Doo-da-doo Doo-da Doo-da-doo Doo-da|0.1|0.213956666229|0|4.0|0.0|4.0
198973|The Beatles|Come Together|1969-09-26|6|5|0|Shoot me Shoot me Shoot me Shoot me Here come old flat-top He come groovin' up slowly He got joo-joo eyeball He one holy roller He got hair down to his knee Got to be a joker he just do what he please Shoot me Shoot me Shoot me Shoot me He wear no shoeshine He got toe-jam football He got monkey finger He shoot Coca-Cola He say I know you, you know me One thing I can tell you is you got to be free Come together, right now Over me Shoot me Shoot me Shoot me He bag production He got walrus gumboot He got Ono sideboard He one spinal cracker He got feet down below his knee Hold you in his armchair, you can feel his disease Come together, right now Over me Right! Heh, heh, heh, heh, heh, heh, heh, heh Heh, heh, heh, heh, heh, heh, heh Come, come, come, come, come He roller coaster He got early warning He got muddy water He one mojo filter He say one and one and one is three Got to be good-looking 'Cause he's so hard to see Come together, right now Over me Shoot me Shoot me Shoot me Oh! Come together, yeah Come together, yeah Come together, yeah Come together, yeah Come together, yeah Come together, yeah Come together, yeah Come together, yeah Come together, yeah Come together, yeah|0.0|0.0777447089947|0|140.0|67.5|148.0
218270|The Rolling Stones|I Can't Be Satisfied|1971-01-01|2|2|0|Well I'm going away to live Won't be back no more Going back down south, child Lord now don't you worry ma Woman I'm trouble Trouble and all worried mind Well I just can't be satisfied Just can't keep on crying Well I feel like snapping Pistol in your face Going to let some graveyard Lord be your resting place Woman I'm trouble Trouble and all worried mind Yeah I just can't be satisfied Just can't keep on crying Yeah Yeah I'm all in my sleep Hear my doorbell ring Looking for my baby Lord seen a doggone thing Woman I'm trouble Trouble and all worried mind Yeah I just can't be satisfied Just can't keep on crying Yeah I know my little old babe She gonna jump and shout That old train be late man Lord I come walkin out Woman I'm trouble Trouble and all worried mind Yeah I just can't be satisfied Just can't keep on crying Well|0.5|-0.0382676767677|1|||
224902|The Rolling Stones|Sway|1971-04-23|5|4|0|Did you ever wake up to find A day that broke up your mind Destroyed your notion of circular time It's just that demon life has got you in its sway It's just that demon life has got you in its sway Ain't flinging tears out on the dusty ground For all my friends out on the burial ground Can't stand the feeling getting so brought down It's just that demon life has got me in its sway It's just that demon life has got me in its sway There must be ways to find out Love is the way they say is really strutting out Hey, hey, hey now One day I woke up to find Right in the bed next to mine Someone that broke me up with a corner of her smile, yeah It's just that demon life has got me in its sway It's just that demon life has got me in its sway It's just that demon life has got me in its sway It's just that demon life has got me... It's just that demon life has got me...|0.0|0.0328798185941|0|6.0|0.0|6.0
224903|The Rolling Stones|Wild Horses|1971-01-01|22|7|0|Childhood living is easy to do The things you wanted, I bought them for you Graceless lady, you know who I am You know I can't let you slide through my hands Wild horses couldn't drag me away Wild, wild horses couldn't drag me away I watched you suffer a dull aching pain Now you decided to show me the same No sweeping exits or offstage lines Could make me feel bitter or treat you unkind Wild horses couldn't drag me away Wild, wild horses couldn't drag me away I know I dreamed you a sin and a lie I have my freedom, but I don't have much time Faith has been broken, tears must be cried Let's do some living after we die Wild horses couldn't drag me away Wild, wild horses, we'll ride them some day Wild horses couldn't drag me away Wild, wild horses, we'll ride them some day|0.1|0.0184027777778|0|42.0|78.6363636364|44.0
224906|The Rolling Stones|Bitch|1971-04-23|9|6|0|Feeling so tired, can't understand it Just had a fortnight's sleep I'm feeling so tired, I'm so distracted Ain't touched a thing all week I'm feeling drunk, juiced up and sloppy Ain't touched a drink all night I'm feeling hungry, can't see the reason Just ate a horse meat pie Yeah, when you call my name I salivate like a Pavlov dog Yeah, when you lay me out My heart is beating louder than a big bass drum, all right Yeah, you got to mix it, child You got to fix it must be love It's a bitch You got to mix it, child You got to fix it but love It's a bitch, all right Sometimes I'm sexy, move like a stud Kicking the stall all night Sometimes I'm so shy, got to be worked on Don't have no bark or bite, all right Yeah, when you call my name I salivate like a Pavlov dog Yeah, when you lay me out My heart is bumpin' louder than a big bass drum, all right I said hey, yeah, I feel all right now Got to be a Hey, I feel all right now Hey hey hey Hey hey yeah Hey hey hey Hey hey yeah Hey hey hey Hey hey yeah Hey hey hey Hey hey yeah|0.0|0.0387566137566|0|14.0|0.0|14.0
224909|The Rolling Stones|Dead Flowers|1971-04-23|4|3|0|Well, when you're sitting there In your silk upholstered chair Talkin' to some rich folk that you know Well, I hope you won't see me In my ragged company Well, you know I could never be alone Take me down, little Susie, take me down I know you think you're the queen of the underground And you can send me dead flowers every morning Send me dead flowers by the mail Send me dead flowers to my wedding And I won't forget to put roses on your grave Well, when you're sitting back In your rose pink Cadillac Making bets on Kentucky Derby Day Ah, I'll be in my basement room With a needle and a spoon And another girl to take my pain away Take me down, little Susie, take me down I know you think you're the queen of the underground And you can send me dead flowers every morning Send me dead flowers by the mail Send me dead flowers to my wedding And I won't forget to put roses on your grave Take me down, little Susie, take me down I know you think you're the queen of the underground And you can send me dead flowers every morning Send me dead flowers by the U.S. Mail Say it with dead flowers in my wedding And I won't forget to put roses on your grave No, I won't forget to put roses on your grave|-0.2|-0.110037878788|0|14.0|0.0|15.0
245459|The Rolling Stones|You Can't Always Get What You Want|1969-11-29|20|9|0|"(I saw her today at the reception) (A glass of wine in her hand) (I knew she would meet her connection) (At her feet was her footloose man) (No, you can't always get what you want) (You can't always get what you want) (You can't always get what you want) (But if you try sometime, you'll find) (You get what you need) I saw her today at the reception A glass of wine in her hand I knew she was gonna meet her connection At her feet was her footloose man You can't always get what you want You can't always get what you want You can't always get what you want But if you try sometime, well, you might find You get what you need Oh, yeah Oh And I went down to the demonstration To get my fair share of abuse Singing, we're gonna vent our frustration If we don't, we're gonna blow a 50-amp fuse Sing it to me, honey You can't always get what you want You can't always get what you want You can't always get what you want But if you try sometimes, well, you just might find You get what you need Oh, baby, yeah Oh I went down to the Chelsea drugstore To get your prescription filled I was standing in line with Mr. Jimmy And, man, did he look pretty ill We decided that we would have a soda My favorite flavor, cherry red I sung my song to Mr. Jimmy Yeah, and he said one word to me, and that was ""dead"" I said to him You can't always get what you want, Lord You can't always get what you want, I tell you this, baby You can't always get what you want, baby But if you try sometimes, you just might find, oo Oo, you get what you need Oh, yeah Whoo (Oh) Ah-oo You get what you need Yeah Oh, baby Oh, yeah I saw her today at the reception In her glass was a bleeding man She was practiced at the art of deception Well, I could tell by her bloodstained hands Sing it You can't always get what you want, yes You can't always get what you want, ooh, yeah, yeah You can't always get what you want But if you try sometimes, you just might find, you just might find You get what you need Oh, yeah Oh, yeah Whoo Oh, you can't always get what you want, no, no, baby You can't always get what you want, standing in line now You can't always get what you want Mm, but if you try sometimes, you j-just might find, you just might find there's something You get what you need Ah, yeah Ah, can you do that?"|0.0|0.0238888888889|0|32.0|70.0|32.0
248621|The Beatles|Real Love|1996-03-04|2|2|0|All my little plans and schemes Lost like some forgotten dreams Seems that all I really was doing Was waiting for you Just like little girls and boys Playing with their little toys Seems like all we really were doing Was waiting for love Don't need to be alone No need to be alone It's real love It's rea-ea-ea-ea-eal Yes, it's real love It's rea-ea-ea-ea-eal From this moment on I know Exactly where my life will go Seems that all I really was doing Was waiting for love Don't need to be afraid No need to be afraid It's real love It's rea-ea-ea-ea-eal Yes, it's real love It's rea-ea-ea-ea-eal Thought I'd been in love before But in my heart I wanted more Seems like all I really was doing Was waiting for you-ou-ou-ou Don't need to be alone No need to be alone It's rea-ea-eal love (Yes) It's rea-ea-ea-ea-eal (Yes) It's rea-ea-eal love It's rea-ea-ea-ea-eal Yes, it's rea-ea-eal love It's rea-ea-ea-ea-eal It's rea-ea-eal love (Yes) It's rea-ea-ea-ea-eal Yes, it's rea-ea-eal love It's rea-ea-ea-ea-eal It's rea-ea-eal love It's rea-ea-ea-ea-eal Yes, it's rea-ea-eal love It's rea-ea-ea-ea-eal It's rea-ea-eal love It's rea-ea-ea-ea-eal Yes, it's rea-ea-eal love It's rea-ea-ea-ea-eal|0.75|0.325462962963|0|7.0|0.0|7.0
249994|The Beatles|Norwegian Wood (This Bird Has Flown)|1965-12-03|7|3|0|"I once had a girl or should I say She once had me She showed me her room, isn't it good Norwegian wood? She asked me to stay and she told me to sit anywhere So I looked around and I noticed there wasn't a chair I sat on a rug biding my time Drinking her wine We talked until two and then she said: ""It's time for bed"" She told me she worked in the morning and started to laugh I told her I didn't and crawled off to sleep in the bath And when I awoke I was alone This bird had flown So I lit a fire, isn't it good Norwegian wood?"|0.0|0.34|0|86.0|51.4285714286|87.0
249996|The Beatles|Nowhere Man|1965-12-03|6|4|80|He's a real nowhere man Sitting in his nowhere land Making all his nowhere plans for nobody Doesn't have a point of view Knows not where he's going to Isn't he a bit like you and me? Nowhere man, please listen (aaah-ah-la-la-la) You don't know what you're missing (aaah-ah-la-la-la) Nowhere man (aaah-ah-la-la-la) The world is at your command (aaah-aah-lala-lala-la) He's as blind as he can be Just sees what he wants to see Nowhere man, can you see me at all? Nowhere man, don't worry (aaah-ah-la-la-la) Take your time; don't hurry (aaah-ah-la-la-la) Leave it all (aaah-ah-la-la-la) Till somebody else lends you a hand (aaah-aah-lala-lala) Doesn't have a point of view Knows not where he's going to Isn't he a bit like you and me? Nowhere man please listen (aaah-ah-la-la-la) You don't know what you're missing (aaah-ah-la-la-la) Nowhere man (aaah-ah-la-la-la) The world is at your command (aaah-aah-lala-lala) He's a real nowhere man Sitting in his nowhere land Making all his nowhere plans for nobody Making all his nowhere plans for nobody Making all his nowhere plans for nobody|0.0|-0.05|0|38.0|20.0|38.0
250001|The Beatles|Girl|1965-12-03|7|3|0|Is there anybody going to listen to my story All about the girl who came to stay? She's the kind of girl You want so much it makes you sorry Still you don't regret a single day Ah, girl Girl, girl When I think of all the times I've tried so hard to leave her She will turn to me and start to cry And she promises the Earth to me And I believe her After all this time I don't know why Ah, girl Girl, girl (Tit-tit-tit-tit tit-tit-tit-tit) She's the kind of girl who puts you down (Tit-tit-tit-tit) When friends are there (tit-tit-tit-tit) You feel a fool (tit-tit-tit-tit tit-tit-tit-tit) (Tit-tit-tit-tit tit-tit-tit-tit) When you say she's looking good (tit-tit-tit-tit tit-tit-tit-tit) She acts as if it's understood (tit-tit-tit-tit tit-tit-tit-tit) She's cool (tit-tit-tit-tit) Ooh (tit-tit-tit-tit) Ooh (tit-tit-tit-tit) Ooh (tit-tit-tit-tit) Girl Girl, girl Was she told when she was young That pain would lead to pleasure? Did she understand it when they said That a man must break his back To earn his day of leisure? Will she still believe it when he's dead? Ah, girl Girl, girl Ah, girl Girl, girl|0.0|0.110945767196|0|33.0|0.0|33.0
250005|The Beatles|If I Needed Someone|1965-12-03|4|2|80|If I needed someone to love You're the one that I'd be thinking of If I needed someone If I had some more time to spend Then I guess I'd be with you, my friend If I needed someone Had you come some other day Then it might not have been like this But, you see, now I'm too much in love Carve your number on my wall And maybe you will get a call from me If I needed someone Ah, ah, ah, ah If I had some more time to spend Then I guess I'd be with you, my friend If I needed someone Had you come some other day Then it might not have been like this But, you see, now I'm too much in love Carve your number on my wall And maybe you will get a call from me If I needed someone Ah, ah|0.0|0.321428571429|0|13.0|73.0|13.0
250006|The Beatles|Run for Your Life|1965-12-03|6|2|0|Well, I'd rather see you dead, little girl Than to be with another man You'd better keep your head, little girl Or I won't know where I am You'd better run for your life if you can, little girl Hide your head in the sand, little girl Catch you with another man That's the end, little girl Well, you know that I'm a wicked guy And I was born with a jealous mind And I can't spend my whole life trying Just to make you toe the line You'd better run for your life if you can, little girl Hide your head in the sand, little girl Catch you with another man That's the end, little girl Let this be a sermon I mean everything I've said Baby, I'm determined And I'd rather see you dead You'd better run for your life if you can, little girl Hide your head in the sand, little girl I catch you with another man That's the end, little girl I'd rather see you dead, little girl Than to be with another man You'd better keep your head, little girl Or you won't know where I am You'd better run for your life if you can, little girl Hide your head in the sand, little girl Catch you with another man That's the end, little girl Na-na-na Na-na-na Na-na-na Na-na-na|0.0|-0.0334821428571|0|11.0|0.0|11.0
269109|The Rolling Stones|Mother's Little Helper|1966-04-15|13|7|0|"What a drag it is getting old ""Kids are different today,"" I hear every mother say Mother needs something today to calm her down And though she's not really ill, there's a little yellow pill She goes running for the shelter of her mother's little helper And it helps her on her way, gets her through her busy day ""Things are different today,"" I hear every mother say Cooking fresh food for her husband's just a drag So she buys an instant cake and she burns a frozen steak And goes running for the shelter of her mother's little helper And two help her on her way, get her through her busy day Doctor, please, some more of these Outside the door, she took four more What a drag it is getting old ""Men just aren't the same today,"" I hear every mother say They just don't appreciate that you get tired They're so hard to satisfy, you can tranquilize your mind So go running for the shelter of a mother's little helper And four help you through the night, help to minimize your plight Doctor, please, some more of these Outside the door, she took four more What a drag it is getting old ""Life's just much too hard today,"" I hear every mother say The pursuit of happiness just seems a bore And if you take more of those, you will get an overdose No more running for the shelter of a mother's little helper They just helped you on your way, through your busy dying day Hey"|-0.1875|0.0573948948949|0|13.0|0.0|13.0
269122|The Rolling Stones|What to Do|1966-04-15|4|4|0|What to do, yeah I really don't know I really don't know what to do What to do, yeah I really don't know I really don't know Maybe when the TV stops Faded out on the epilogue Watch the screen just fade away Now, I really don't know I really don't know What to do, yeah Well, I really don't know I really don't know what to do What to do, yeah I really don't know I really don't know There's a place where you get bored That's what you make your money for Drink and dance 'til four o'clock Now, you really don't know You really don't know what to do, yeah Nothin' to do, nowhere to go You're talkin' to people that you don't know There's na-na-nothin' to do-do-do There's na-na-nothin', (no) no You (I) really don't what to do, yeah Well, I really don't know I really don't know what to do What to do, yeah I really don't know I really don't know Hurry, people, get on your train Don't be late for work again Take this time to go to bed Now, I really don't know I really don't know what to do, yeah Nothin' to do, nowhere to go You're talkin' to people that you don't know There's na-na-nothin' to do-do-do You're sick 'n' tired of foolin' 'round There's na-na-nothin' to do-do-do To do-do-do, to do-do-do There's na-na-nothin', na-na-nothin' Na-na-nothin', na-na-nothin' Na-na-nothin', na-na-nothin' Na-na-nothin'|0.0|0.0702380952381|0|2.0|0.0|2.0
277644|The Rolling Stones|Ruby Tuesday|1967-01-20|19|8|0|"She would never say where she came from Yesterday don't matter if it's gone While the sun is bright Or in the darkest night No one knows She comes and goes Goodbye, Ruby Tuesday Who could hang a name on you? When you change with every new day Still I'm gonna miss you Don't question why she needs to be so free She'll tell you it's the only way to be She just can't be chained To a life where nothing's gained And nothing's lost At such a cost Goodbye, Ruby Tuesday Who could hang a name on you? When you change with every new day Still I'm gonna miss you ""There's no time to lose,"" I heard her say ""Catch your dreams before they slip away"" Dying all the time Lose your dreams And you will lose your mind Ain't life unkind? Goodbye, Ruby Tuesday Who could hang a name on you? When you change with every new day Still I'm gonna miss you Goodbye, Ruby Tuesday Who could hang a name on you? When you change with every new day Still I'm gonna miss you"|0.0|0.205681818182|0|37.0|70.0|41.0
286215|The Beatles|It Won't Be Long|1963-11-22|8|3|0|It won't be long Yeah (yeah) yeah (yeah) yeah (yeah) It won't be long Yeah (yeah) yeah (yeah) yeah (yeah) It won't be long Yeah (yeah) 'Til I belong to you (ahh) Every night, when everybody has fun Here am I, sitting all on my own It won't be long Yeah (yeah) yeah (yeah) yeah (yeah) It won't be long Yeah (yeah) yeah (yeah) yeah (yeah) It won't be long Yeah (yeah) 'Til I belong to you (ahh) Since you left me (you left me here on my own) I'm so alone Now you're coming You're coming on home (now you're coming on home) I'll be good like I know I should (yes, you should be) You're coming home (aaah) You're coming home Every night, the tears come down from my eye Every day, I've done nothing but cry It won't be long Yeah (yeah) yeah (yeah) yeah (yeah) It won't be long Yeah (yeah) yeah (yeah) yeah (yeah) It won't be long Yeah (yeah) 'Til I belong to you (ahh) Since you left me (you left me here on my own) I'm so alone Now you're coming You're coming on home (now you're coming on home) I'll be good like I know I should (yes, you should be) You're coming home (aaah) You're coming home So every day, we'll be happy, I know Now I know that you won't leave me no more It won't be long Yeah (yeah) yeah (yeah) yeah (yeah) It won't be long (Yeah) yeah (yeah) yeah (yeah) It won't be long Yeah (yeah) 'Til I belong to you|-0.05|0.131777777778|0|10.0|60.0|10.0
286216|The Beatles|All I've Got to Do|1963-11-22|8|3|0|Whenever I want you around, yeah All I gotta do Is call you on the phone And you'll come running home Yeah, that's all I gotta do And when I, I wanna kiss you, yeah All I gotta do Is whisper in your ear The words you long to hear And I'll be kissing you And the same goes for me Whenever you want me at all I'll be here, yes, I will Whenever you call You just gotta call on me, yeah You just gotta call on me And when I, I wanna kiss you, yeah All I gotta do Is call you on the phone And you'll come running home Yeah, that's all I gotta do And the same goes for me Whenever you want me at all I'll be here, yes, I will Whenever you call You just gotta call on me, yeah You just gotta call on me Oh, you just gotta call on me|0.0|-0.0166666666667|0|7.0|60.0|7.0
286218|The Beatles|Don't Bother Me|1963-11-22|8|3|0|Since she's been gone I want no one to talk to me It's not the same But I'm to blame, it's plain to see So go away, leave me alone Don't bother me I can't believe That she would leave me on my own It's just not right When every night I'm all alone I've got no time for you right now Don't bother me I know I'll never be the same If I don't get her back again Because I know she'll always be The only girl for me But till she's here Please don't come near, just stay away I'll let you know When she's come home, until that day Don't come around, leave me alone Don't bother me I've got no time for you right now Don't bother me I know I'll never be the same If I don't get her back again Because I know she'll always be The only girl for me But till she's here Please don't come near, just stay away I'll let you know When she's come home, until that day Don't come around, leave me alone Don't bother me Don't bother me Don't bother me Don't bother me Don't bother me|0.0|0.0724489795918|0|5.0|60.0|5.0
286219|The Beatles|Little Child|1963-11-22|8|3|0|Little child, little child Little child, won't you dance with me? I'm so sad and lonely Baby, take a chance with me Little child, little child Little child, won't you dance with me? I'm so sad and lonely Baby, take a chance with me If you want someone to make you feel so fine Then we'll have some fun when you're mine, all mine So come on, come on, come on Little child, little child Little child, won't you dance with me? I'm so sad and lonely Baby, take a chance with me Wow When you're by my side you're the only one Don't you run and hide Just come on, come on Yeah, come on, come on, come on Little child, little child Little child, won't you dance with me? I'm so sad and lonely Baby, take a chance with me Baby, take a chance with me Baby, take a chance with me|-0.1875|-0.159722222222|0|1.0|60.0|1.0
286220|The Beatles|Till There Was You|1963-11-22|10|4|0|There were bells on a hill But I never heard them ringing No, I never heard them at all Till there was you There were birds in the sky But I never saw them winging No, I never saw them at all Till there was you Then there was music and wonderful roses They tell me In sweet fragrant meadows Of dawn and dew There was love all around But I never heard it singing No, I never heard it at all Till there was you Then there was music and wonderful roses They tell me In sweet fragrant meadows Of dawn and dew There was love all around But I never heard it singing No, I never heard it at all Till there was you Till there was you|0.0|0.616666666667|1|||
286223|The Beatles|Hold Me Tight|1963-11-22|8|3|0|It feels so right now Hold me tight Tell me I'm the only one And then I might Never be the lonely one So hold (hold) me tight (me tight) Tonight (tonight), tonight (tonight) It's you You, you, you Hold me tight Let me go on loving you Tonight, tonight Making love to only you So hold (hold) me tight (me tight) Tonight (tonight), tonight (tonight) It's you You, you, you Don't know What it means to hold you tight Being here alone tonight with you It feels so right now Hold me tight Tell me I'm the only one And then I might Never be the lonely one So hold (hold) me tight (me tight) A-tonight (tonight), tonight (tonight) It's you You, you, you Don't know What it means to hold you tight Being here alone tonight with you It feels so right now Hold me tight Let me go on loving you Tonight, tonight Making love to only you So hold (hold) a-me tight (me tight) Tonight (tonight), tonight (tonight) It's you You, you, you|-0.178571428571|0.0132275132275|0|5.0|0.0|5.0
